title;text;tags;date
Ребята, найдите такого Фому и эти стихи прочитайте ему;Вы ни разу не видели мужчин, зарабатывающих 200 тысяч, и не верите, что они могут жениться на девушках, не зарабатывающих почти ничего? А что в этом такого уж невероятного? Понятно, что люди верят в то, во что они хотят верить, а вы, наверное, очень не хотите в такое верить. Вот и пишете в стиле Фомы Неверующего. А что тут такого уж невероятного? Вот я — программист, 200 тыс. на основной работе не зарабатываю, поскольку не живу в столицах, но около 160 выходит. Взял подработку, и теперь как раз 200 и выходит. Женился на даме, которая преподавала философию в ВУЗе и еле выживала в общаге. Когда родился ребёнок, ей пришлось перейти на полставки, и получались совсем жалкие копейки. Она ушла с работы, и теперь занимается домашним хозяйством, а я работаю. Каждый делает то, что хорошо умеет делать, и никто особенно не напрягается. Это и есть основа для семейного счастья. Тем более что квартиру я купил ещё до брака, так что никакой ипотеки. Где мы таких находим? Везде. Я со своей будущей женой на сайте знакомств встретился. Да, там есть и нормальные люди. Зачем? Чтобы создать семью, вырастить детей и «жить долго и счастливо». А зачем вообще люди женятся? Почему бы не искать спутницу жизни среди своего круга? Хотя бы потому, что девушек-программисток на порядок меньше, чем мужчин, а если такая девушка ещё и красивая, то за ней ухаживает вся контора. Чтобы на такой жениться, надо быть молодым-красивым, да ещё и занимать достаточно высокое положение, а я был немолод, далеко не Аполлон, и никаких постов не имел. Как видите, я не хвастаюсь, и пишу чистую правду. Среди нас очень мало «принцев» и «принцесс» — у каждого свои преимущества и недостатки. Жить с программистом — это вообще не сахар, поскольку они всю жизнь приказывают компьютерам делать то, что им нужно, и то же самое делают в реальной жизни. Можете называть это профессиональной деформацией. Зато они действительно зарабатывают деньги. Девушка, для которой именно деньги являются основной проблемой, и которая не озабочена «разеванием рта» и пробиванием «того, что она хочет», любой ценой, станет отличной женой программиста. А девушке, для которой важнее всего именно «разевание рта», лучше всего вообще замуж не выходить. Дальше вы пишете какую-то невероятную чушь. «Не дам денег на прокладки»? «Выгоню на мороз в одних трусах»? Все деньги в семье ОБЩИЕ, даже если их зарабатывает только муж. Личные деньги выделяются каждому члену семьи из этих общих. Как можно «не дать денег на прокладки», если деньги общие? И какой смысл жениться, чтобы потом «выгонять жену в одних трусах»? Нет, я не спорю, что такие мужья ЕСТЬ. Но ведь есть и жёны «я тебе не кухарка» и даже «я с тобой спать не обязана»! К счастью, и то, и другое — исключения. Семья — это коллектив. То есть, группа людей, работающих на одно и то же дело. При этом приходится идти на большие жертвы. Например, все деньги мужа — уже общие. А жена должна готовить, стирать и убирать. Каждый имеет право высказывать своё драгоценное мнение, но не имеет права на нем настаивать, ибо мир и порядок в семье важнее. Решающее слово в любом споре должно принадлежать тому, кто лучше разбирается в данном вопросе. Например, в моей семье готовит жена, и она же заказывает продукты, которые я приношу. Если мне кажется, что такой-то продукт не нужен, или его нужно не столько, я могу с ней поспорить, но решающее слово за ней. То же самое во всех вопросах, касающихся детей. Но в целом, если муж зарабатывает на порядок больше жены, логично предположить, что он умнее — стало быть, ему и принимать решения. Ему же и отвечать за них. А драгоценное мнение жены ей придется засунуть сами знаете куда. Никто не ищет «нищих молоденьких дурочек» и не «сажает их на цепь у плиты»! Напоминаю, моя будущая жена преподавала философию в ВУЗе — явно не «дурочка», и ей уже было 37, а мне 42. Мужчины, которые зарабатывают деньги, ищут женщин, готовых делать домашнюю работу, рожать и воспитывать детей, и не видящих в этом никаких «цепей». Работа как работа, ничуть не хуже работы мужа, и даже лучше, потому что жена работает на себя, а не на чужого дядю. Если для вас нормально, что муж зарабатывает почти столько же — это не значит, что все остальные должны жить так же. Что вы будете делать в декрете, когда не сможете работать — это тоже ваше дело. Жёны, которые не работают, вам отвечать не станут: вы всё равно не поймёте, какое это счастье — готовить для своей семьи всякую вкуснятину, заниматься своим хобби: у них ведь намного больше свободного времени, и навсегда забыть о начальниках, которым ты всегда что-то должна. Для вас же готовка — это «цепь у плиты», потому, что готовить вы не любите и не умеете, а вот работа на чужого дядю как раз олицетворяет «свободу». Где ваша логика? Её просто нет. Вот это и задолбало.;прекрасный пол, родственники, сильный пол, быт;2021-09-26
Побольше грамотных, поменьше дураков;Кто там у вас висел на Доске Почёта? Женщины в возрасте или всё же их фотографии? «Студенты, не сдавшие язык и имеющие хвосты, будут повешены на втором этаже». Мне продолжать? Грамотность не зависит от пола и возраста. Дедуля под 90 лет может быть абсолютно грамотным. Тётка-секретарь может быть абсолютно грамотной. А вчерашняя выпускница ВУЗа, молодая и дерзкая, которую вы прочите на место той самой тётки, может быть абсолютно безграмотной. А может быть и наоборот. Когда я работала в администрации одного из субъектов нашей необъятной, мне приходили письма с дикими ошибками. Молодые и дерзкие, представьте себе, не знают падежи. Не умеют ставить знаки препинания. Самое страшное, что грамотных людей сейчас очень мало. Все остальные «не на уроке русского языка». Человек, умеющий правильно говорить и писать — редкий бриллиант, который все готовы втоптать в грязь, «шоб не выпендривался». Задолбали издеваться над родным языком. PS Знаете, кто меня удивил больше всех? Сотрудница комитета международных отношений, которая не смогла найти на карте… Средиземное море. Так что проблема здесь гораздо, гораздо глубже, чем отсутствие запятых.;образование, бюрократия, язык;2021-09-26
А раньше «династия» звучало гордо;Вот скажите на милость, почему раньше понятие династия считалось гордым? То есть, когда сын берёт профессию отца, отец ему передаёт весь свой опыт, который ему передал дед и так далее. Или вот, например, семейные реликвии, передающиеся из поколения в поколение? Люди, которые знают свой род и что в их роду были влиятельные и уважаемые люди. Они будут этим гордиться. Я, например, знаю, что мой прадед работал в одном научно-исследовательском институте в Москве, который часто навещал сам Иосиф Виссарионович. Лично они не общались, но руки друг другу пожимали и в одном из альбомов сохранилась старая фотография где он стоит позади начальника, пожимающего руку вождю. К слову, моя троюродная сестра работает в этом же институте лаборантом. Её родители тоже работают в НИИ, правда, в другом. Вот вам целая династия учёных. Но вот что сейчас делать детям влиятельных людей? Любое их достижение воспринимается обществом как исключительная протекция родителей в самом плохом смысле этого слова — кумовство. А вот никто никогда не задумывался, что помимо династий рабочих существуют ещё и династии интеллигенции — тех самых учёных, политиков, спортсменов, писателей? Сейчас создаются первые династии предпринимателей — дети родителей, построивших свой бизнес, также идут в него. Они передают свой опыт из поколения в поколение. А вы об этом как о коррупции. Поймите, что ребёнок, живущий в семье предпринимателей, очень быстро впитает особенности такого менталитета, а опыт, переданный его родителями, позволит ему ещё сильнее состояться в этом. Поэтому если вы видите, что директор театра берёт себе в заместители своего сына — это не коррупция, просто сын, тесно общаясь с отцом о театральных делах ежедневно и круглосуточно, знает всю эту кухню лучше, чем любой человек взятый со стороны. Почему династия рабочих это звучит гордо, а династия менеджеров — это должно быть низко и подло? Задолбали.;искусство, родственники, быт;2021-09-26
Это же не наш случай;Милая девушка, да действительно — «За большим погонишься — малое потеряешь», но только не в этом случае. Во-первых, разговор-то шёл не о контенте вида «заплатил раз — пользуйся всю жизнь», а либо о вообще бесплатном, либо о подписочном. Мол, раньше я смотрел рекламу, а если не хотел — платил за подписку… а теперь только подписка и всё равно с рекламой, либо никак. Ну так, а вы как хотели? Я не разраб, но даже я понимаю, что «Вот купили вы джинсы и носите в своё удовольствие. И вот через месяц с вас требуют снова заплатить за них. Но зачем? Вы же уже их купили, и они ещё не потеряли товарный вид!» — аналогия так себе… Потому как, если бы эти джинсы постоянно подгоняли вам по фигуре, стирали, обрезали ниточки там, где они вылезли, зашивали дырочки, добавляли и убирали аппликации и другие элементы на разных местах, то платили бы вы за них постоянно, и дороже, чем сами они стоят. Так с программами то же самое — их, внезапно, поддерживают, добавляют контент, оптимизируют под обновления ОС и вообще железа. Бесплатно это делать не будет никто. Насчёт голодающих бедняжек: Во-первых 60−70 тысяч ЗП это отнюдь не великие деньги с сегодняшними ценами, особенно, если ты разраб и тебе нужны те самые железки в личное пользование, которые нужно постоянно обновлять… и ваши великие «три ляма» — это всего лишь 40 000 долларов. Я понимаю, что есть куча школьников, которые на коленке из конструктора игры ваяют вообще бесплатно, но в итоге и результат выходит вида «Я сделяль», а вам нужно было хорошо, и не за 3−5 лет, я думаю, а за полгодика максимум. Один человек этого не сделает — нужна команда. В ней каждому нужно будет платить ЗП, каждый месяц… и не малую. Зачем человеку уходить с работы, где он имеет 60−70 и ввязываться в непонятный проект? Значит, предложить ему должны в два−три раза больше. Вот и думайте, на сколько этого хватит… и я ещё не говорю про разные авторские права и отчисления за них. А все ваши рассуждения от того, что вы, видимо, считаете, что разработка программ это не труд, а просто пару кнопок нажать, ничего при этом не потратив и не вложив. Вот джинсы пошить — это да, это труд! Про юристов то же говорят — мол, сходил в суд, взял с собой кодекс, прочитал оттуда две строчки, а взял 50 000. И бухгалтер тоже ничего не делает, а ЗП хочет о-го-го, гад такой… Только вот, раз это так просто — делайте сами. Оставьте себе свои три ляма, посмотрите онлайн курс и сделайте игру сами, потом сами посудитесь с кем-нибудь, и бухгалтерию тоже — сами. Но вдруг оказывается, что «я не знаю, не умею и вообще». А тогда не надо ныть. Вы не хотите платить за подписку на приложение… Вы, как клиент, отвалились… Но ещё сотни, если не тысячи остались. И платят. Готовы и будут это делать. Так зачем разработчику делать бесплатно то, за что люди готовы платить? Он идиот, по-вашему? Вы-то сами готовы бесплатно делать то, что другие не могут и не умеют от слова совсем, вот просто потому что? Не думаю. Вот и люди этим зарабатывают, представьте себе. Зарабатывают честно, никого не грабят, не убивают, не заставляют покупать свой контент. Так за что ж вы их хаете? За то, что для вас это дорого? Так это не их вина. Может и не ваша тоже, но уж не их точно. Так что не ругайте разрабов за то, что они хотят достойной оплаты того, что умеют делать, лучше подумайте, что нужно для того, чтобы любая цена подписки была для вас, буквально, копеечной суммой.;развлечения, интернет-клубы, интернет;2021-09-25
По утрам от него пахло дорогим дезодорантом. Но к обеду природа брала своё;Милочка, вы бы прежде чем называть незнакомых людей свиньями хотя бы изучили хоть немного матчасть. Потение организма это естественный процесс терморегуляции и регуляции гормонального уровня. Феромонов, тех самых, не имеющих запаха веществ, но которые привлекают противоположный пол, вы не поверите, в избытке в поте из ступней женщин и в поте ладоней у мужчин. А ещё — о боже, в паху и подмышках. Однако, повторюсь, они не имеют запаха. Чистое тело после бани тоже потеет, но запаха у него нет, странно, да? Запах возникает лишь тогда, когда нарушен гормональный фон. А это лечится не антиперспирантами, а врачом-эндокринологом. Или дерматологом, если запах возникает из-за кожных проблем типа грибка. Антиперспирант полностью блокирует потовые железы, путём их закупорки, поэтому локальное нарушение теплообмена обеспечено. Частое их использование ведёт к тому же нарушению терморегуляции и гормональным сбоям. Дезодорант — не путать с антиперспирантом, всего лишь маскирует запах пота, не влияет на гормональный фон и теплообмен. Однако это опять же борьба со следствием, а не с причиной — гормоны. Человек теряет до двух литров жидкости в сутки, это нормально, поэтому нам нужно пить. Так что тот кто потеет, как раз таки — не свинья, а абсолютно здоровый человек в отличие от тех, кто вынужден лить на себя антиперспиранты, вместо того чтобы обратиться к врачу если от пота идёт неприятный резкий запах. А вы их свиньями называете. Задолбали.;медицина, красота;2021-09-25
Один на всех и все из-за одного;Почему, почему, почему… почему курильщики все, как один, не знают физики? Они припадочно вопят о своих правах, о местах для курения, о проветриваемых уголках, но не понимают, что всем мерам грош цена, потому что дым вещество летучее и очень вонючее. Нам, некурящим, плевать, чем вы травитесь и где, мы просто не хотим чувствовать вонь сигаретного дыма рядом с собой. У вас уголок дома проветривается? Здорово и круто, вам проветрилось, а вонь ушла в соседние квартиры по вытяжкам и открытыми окнам. У вас курилка и отведённое место? Снова здорово, только дым оттуда тянется на много-много метров в стороны и вверх, залетает в офисы и квартиры, в школы и детские сады и воняет, воняет, воняет. От него пропитывается одежда, волосы и всё вокруг. Вы отошли от толпы на остановке в сторонку покурить? Молодцы! Только ваши выхлопы снова разлетаются вокруг, окутывают тех, кто на остановке и воняют. Решили на ходу покурить? Тут просто браво, потому что вы, вроде бы, идёте далеко от других прохожих, но шлейф сигаретной вони может тянуться на много метров позади вас и все, кто идёт за вами, вынуждены этим дышать или бежать бегом, чтобы обогнать. Ну что? Вы всё ещё никому не мешаете, куря в отведённых местах и курилках? Нет. Мешали и будете мешать, пока не появятся вытяжки, которые дальше метра от вас ваш дым не пустят. И покуда их нет, я боролась и буду бороться с курящими. Буду строчить жалобы, после которых убирают места для курения, штрафуют курящих в окна соседей, ловят на платформах и остановках, тех, кому свербит подымить в толпу. И знаете, здесь закон работает на моей стороне. Ни разу жалоба не осталась без удовлетворения. Надеюсь, скоро эту вредную привычку начнут жестко пресекать, а штрафы будут содержать минимум четыре нуля. Задолбали!;быт;2021-09-25
Что для одного — сумасшествие, для другого — реальность;Эти бабы зажрались. Мультиварки, роботы пылесосы, стиральные машинки, подгузники! То ли дело раньше. Рожали в поле, мыли руками, стирали в речке. Эти дети, кто из них вырастет! С тринадцатилетним сидят. За ним присматривают! Вот рааааньше! По пять км ходили в школу, ремнём пороли, сами себе еду грели в печке с ухватом. Не то, что эти сопляки! Всё это кудахчут мужички, сидящие в иномарке с подогревом их располневшей от сидячей работы задницы. Это они утром сидят в тёплом сортире по полчаса. Это они едят кашу из мультиварки. Они пьют кофе, купленный на вынос в ближайшем кафе. Чтобы приехать в офис, сесть в кресло и нажимать кнопочки. То ли дело раньше. Телегу из сарая вытолкать, лошадь накормить, почистить, вывести, запрячь. Ехать по бездорожью, а если колесо отвалилось, прыгать в грязь и чинить. Дом строить самому. Землю пахать плугом. Урожай снимать и перерабатывать руками. Но наши мужички как будто не видят, что они сами без достижений прогресса, делающих жизнь такой простой и удобной, не прожили бы и суток. Берите копьё, натягивайте шкуру и бегите в лес, вас там ждёт саблезубый тигр. Сразитесь с ним один на один. Потом добудьте мамонта побольше. Догоните, убейте, расчлените, притащите на стоянку племени. И там увидите женщин, хранящих очаг, как раньше. Детей, бегающих без присмотра и прививок, как раньше. А когда вам занеможется, ложитесь и помирайте, как раньше. А мы, пожалуй, учтём новые опасности, пришедшие в нашу жизнь вместе с прогрессом. Когда один геотег скажет всему миру, что ребёнок дома и он один. Когда на дорогах тех самых машин в десятки раз больше, чем ещё тридцать лет назад. Когда мигрантов на квадратный метр первопрестольной человек десять и новые прибывают, садятся водителем в такси и едут по загадочной синусоиде, не представляя, что такое ПДД. И присмотрим за детьми. Которых рожают по одному на семью, а не по 20 с каждой жены. Задолбали со своими двойными стандартами и выборочной слепотой.;прекрасный пол, транспорт, иностранцы, дети, еда, родственники, сильный пол;2021-09-25
Стыд не дым — глаза не ест!;Моя подруга в августе отдыхала с маленьким сыном в посёлке на полуострове. Так получилось, что на прогулке ей на ногу наехал на прокатной машинке какой-то ребёнок. Причем наехал не один раз. Полагаю, что не специально. Уворачиваясь, она ударилась ногой об асфальт и еще подвернула ее. Ужасно больно, из глаз брызнули слезы. Мальчик был с бабушкой, и та явно видела всё, но никаких извинений принесено не было. Кое-как ходила пострадавшая три недели, боль не унималась. Вчера всё-таки обратилась в травму. И, оказалось, что перелом! Теперь она в гипсе и на костылях. Она одна растит ребёнка, родных нет. Вот так. Конечно, бывает всякое, никто ни от чего не застрахован, но ей было намного легче, и не так обидно, не окажись те люди такими свиньями, не сделай вид, будто они не при чём. А вообще-то это нанесение телесных повреждений так-то.  У меня был случай, конечно пустяковый, но всё же. Дочка в парке запускала пенопластовый самолетик. Он спланировал вниз прямо под ноги проходившей даме. Дама наступила на него по инерции, так как не ожидала, что что-то прилетит под ноги. Дочка подбежала его забрать, а та заявила: «Сама виновата». Я бы, случайно попортив чужую вещь, хоть и не по своей вине, со стыда бы провалилась. А это… Как иным легко жить на свете!  К слову, самолетик слегка пострадал. А вот с ногой подруги хуже.;развлечения, дети, друзья, быт;2021-09-25
Единственное, что человек делает всегда искренне, — заблуждается;Здравствуйте! Наверное, здесь нечасто бывают мои коллеги, но я люблю этот сайт, и тоже хочу выплакаться. Дело в том, что я — матушка. Или попадья, если так больше понравится. И меня замучило мракобесие. Да-да, я понимаю, все сейчас засмеются и скажут: «Да вы же главные мракобесы и есть». Что ж, кому как, но поверьте, мы ещё ничего, мы ещё цветочки. Про ягодки сейчас расскажу. У нас в приходе, как и в большинстве других, разделение труда: муж по духовной части, а я по хозяйству. Я и завхоз, и секретарь, и бухгалтер, и всё остальное тоже я. И именно ко мне в первую очередь приходят со странными просьбами «захожане», то есть люди, в церковной жизни не участвующие, но забегающие «свечку поставить». Вот приходит дама лет 50−60, с коляской. Просит, чтобы из её внучки изгнали бесов. Я всегда настораживаюсь от таких просьб, потому что по образованию я педиатр, и чаще всего ребёнку нужен невролог, а не священник. Спрашиваю, почему она думает, что в ребенке бесы, как это проявляется? Какое-то странное поведение? Нет, ничего странного, обычный ребёнок, но вот дочка, не спросясь, сделала ребенку прививки, «а вы же сами знаете, что там, в этих прививках!» Что ж, мысленно переодеваюсь в белый халат, и очень спокойно объясняю, что ничего нечистого в прививки не кладут. Вроде убедила. Не уверена. Старушка тащит пучок травы. Просит, чтобы освятили. Опять спрашиваю, зачем? А вычитала где-то в журнале для садоводов, что если сорняки освятить, а потом в полнолуние сжечь, то они в саду расти не будут. Держу себя в руках. Не гневаться. Не смеяться. Но язык кусаю, чтобы не спросить: «А черного петуха нам над алтарем не зарезать? Во славу Гекаты?» Вместо этого, опять же спокойно, объясняю, что это суеверие, никакого отношения к Православию не имеющее. Можем помолиться об урожае, если она хочет. Люди спрашивают, продаем ли мы талисманы на удачу и амулеты от сглаза. Люди просят установить контакт с умершими родственниками. Люди интересуются, не можем ли мы отпеть их соседа, вполне живого, а то он всему подъезду надоел. Я не ожидаю, что каждый разбирается в Православии. Я знаю, что и активные прихожане иногда зёрна от плевел не могут отличить — даже и священников таких знаю, но это отдельный разговор. Да, это наша работа: разъяснять тем, кто пришёл, наставлять их. Но, прости меня, Господи, задолбали.;религия;2021-09-24
Ещё ходят по нашей земле поклонники вчерашнего дня;На дворе 21 век… Подруга полчаса дозванивается в справочную вокзала, чтобы узнать в какое время отправляется необходимый ей поезд. Кое-как дозвонившись, она же не одна такая, узнаёт, что необходимый ей поезд уходит через час. Бегом собирает манатки, вызывает по телефону такси, в итоге приезжает на вокзал за десять минут до отправления, сначала стоит в очереди в банкомат, чтобы снять наличку для покупки билета, затем стоит в очереди в кассу чтобы купить билет. В это время поезд делает «ту-ту» и тихо-мирно отправляется без неё. Когда у меня была подобная ситуация я зашла на сайт РЖД, посмотрела расписание, купила онлайн билет по банковской карте, сохранила его в память телефона, вызвала такси через приложение, которое показало мне практически точное время прибытия на вокзал, в итоге пришла к вагону за десять минут до отправления поезда, показала проводнику электронный билет на экране телефона, паспорт, спокойно села и уехала. У меня на её историю немой взгляд — ты дура? Оказывается, её научила мама, что в Интернете один обман и мошенники, всегда всё врут, ничему доверять нельзя, поэтому она всегда всё делает по старинке. Мама, на секунду, у неё учительница. Меня это очень смутило. Потом однажды, пообщавшись с ней лично, выяснилось — она ежедневно и настойчиво внушает не только дочери, но и своим ученикам всего лишь потому, что ей просто не нравится, что дети сидят в интернете и смартфонах. Ещё раз повторяю, на дворе 21 век… Задолбали технофобы, но не меньше задолбали те, кто их воспитывает.;сервис, транспорт, интернет-клубы, интернет, родственники;2021-09-24
Разные детки — общие бедки;Здравствуйте, мама сына. Отвечает вам мама дочери. От окружения мне приходится выслушивать всё то же самое, что и вам. — Тебе-то легко, у тебя дочь, сплавила её в 18 лет замуж и всё, а у меня — сын, его на ноги ставить нужно! — говорит родная сестра — Квартиру купить ему нужно? Нужно! Машину нужно? Обязательно, иначе ни одна приличная девушка в его сторону даже не посмотрит. Твоей-то хорошо, придёт на всё готовое! — И не говори, девки сейчас пошли — оторви да выбрось! Стерва на стерве и стервой погоняет! Лишь бы наших сынулечек обобрать до нитки и следующему несчастному на шею и кошелёк присесть! — вторит ей сестра двоюродная. — Зачем твоя дочь заняла бюджетное место в ВУЗе, ей же в армию не идти! — возмущается соседка — Из-за неё теперь какому-то хорошему мальчику юность в сапогах обеспечена. — Да зачем вообще ей универ, да и вообще, такая крутая специальность? — спрашивает другая соседка — Борщи варить да носки стирать можно и с корочкой ПТУ и даже без оной. — Ещё и норовят лучшие рабочие места занять! — возмущается третья соседка — Вот буквально на днях очередная свиристелка моего сыночка на собеседовании обошла. Высшее образование у неё, видите ли. А он виноват разве, что его из универа отчислили? Преподы привязались к тому, что ни разу за семестр на занятиях не появился, а потом на всех экзаменах завалили. А он виноват разве, что ему некогда по занятиям шляться и учить всякую муть? Это девкам делать нечего, поэтому они могут на ерунду время тратить, а он — молодой мужчина, ему жить нужно! В общем, нас, мам девочек, тоже задолбали.;образование, дети, родственники, соседи, быт;2021-09-24
Когда жалуются на жизнь, то это почти всегда означает, что от неё требовали невозможного;И опять им админы виноваты. А давайте с другой стороны посмотрим? Не приходило вам, уважаемый копирайтер, уверенный на все сто в неотразимости своих текстов, которые он пишет как хобби, что процент уникальности текста — это как раз требование заказчика? А админ посажен туда, в том числе, чтобы отсеивать тексты с меньшим процентом уникальности, и чтобы заказчику — внимание, за свои же деньги! —  не пришлось тратить на просмотр всех подряд текстов, не подпадающих под его требования, времени больше, чем сам бы он на написание этого текста потратил? А про незначительность потерь я всё же скажу… У админа-то, вот сюрприз, от количества вас, копирайтеров, на определённом ресурсе вообще никак жизнь не зависит. Сейчас не говорю о гениальных товарищах, за текстами которых заказчики в очереди стоят. Такие тоже бывают, но не на уровне «новичок» некоего сайта, где таких же копирайтеров пруд пруди. Хорош путать людей, которые просто исполняют инструкции, а такие и среди вахтёров есть, кстати, с теми, кто хочет унижать людей, потому что может. Задолбали!;интернет-клубы, интернет;2021-09-24
